Distance_m,Altitude_m,Interference_Level,SNR_dB
1575.05,140.77,2,32.49
1344.22,107.6,0,70.12
1943.26,139.19,2,28.75
274.8,36.21,1,82.25
677.58,32.08,0,79.19
46.58,139.64,2,78.18
670.42,96.24,1,77.9
922.47,27.18,0,73.99
1632.85,118.6,0,64.63
362.53,27.51,0,92.69
1700.56,22.43,2,17.14
836.39,107.99,2,54.67
102.55,140.6,2,77.81
560.36,74.71,0,93.1
1350.13,46.03,0,68.13
1253.9,68.93,2,40.04
745.61,115.87,0,91.48
1806.62,124.76,2,28.94
1455.55,134.15,1,55.31
1888.86,38.37,0,51.31
658.47,55.25,2,50.99
328.69,32.81,1,77.0
1113.04,45.4,1,58.26
773.71,147.39,0,93.43
1758.8,118.1,2,28.79
601.59,31.6,1,67.81
1587.12,88.32,2,29.95
1698.53,39.59,2,27.61
1448.78,68.25,1,52.11
456.92,14.01,0,83.76
1343.72,16.31,0,63.14
798.38,137.9,2,64.58
1922.41,110.86,0,48.51
1218.44,125.28,2,49.1
1749.46,48.96,0,50.14
120.68,138.14,2,81.32
1044.24,126.02,1,62.19
172.51,9.84,1,77.58
483.98,131.56,1,84.01
1362.88,14.84,0,61.53
1007.92,123.71,1,67.47
1160.86,56.64,2,36.16
1627.36,62.33,1,37.9
229.45,18.49,0,92.86
1386.98,117.26,2,40.11
928.37,94.96,0,78.08
1044.42,92.83,1,59.16
1121.42,56.3,2,41.95
301.26,93.17,0,100
1170.59,131.36,0,76.35
335.16,46.1,2,63.03
301.53,96.28,2,74.05
187.58,112.72,1,85.89
1673.91,94.68,1,46.31
996.3,136.26,0,79.48
263.0,55.65,0,98.87
1627.55,85.59,2,32.08
1561.32,92.0,2,31.82
1612.35,30.27,2,28.49
1168.92,83.94,0,70.62
1856.05,85.1,0,53.84
1952.71,118.66,1,36.77
269.77,66.01,1,81.0
754.23,136.46,0,95.67
1086.12,76.41,1,59.94
649.97,112.77,1,76.9
951.94,52.13,1,64.56
1779.29,127.9,0,58.19
110.92,104.46,2,81.26
166.83,70.84,1,83.7
501.36,109.87,2,70.87
1588.8,55.99,0,53.07
1107.39,65.5,0,68.36
1572.95,17.62,1,39.7
1104.04,149.32,0,83.22
81.38,52.85,0,98.94
866.37,10.81,1,64.68
885.94,82.51,0,76.8
1687.68,13.17,1,34.81
740.38,44.16,0,80.65
79.7,18.88,1,80.55
1221.23,54.92,1,52.15
1856.07,69.7,1,35.19
222.02,136.98,1,87.51
670.53,56.27,0,86.31
498.95,17.11,0,83.99
1512.53,62.3,1,48.97
1517.75,74.51,0,62.85
1232.09,23.26,1,49.49
1575.47,71.1,1,43.17
1466.09,143.23,0,71.03
692.98,137.64,0,93.71
863.86,30.59,0,77.46
14.48,17.02,1,87.87
1352.22,54.99,1,51.14
195.71,128.44,0,100
349.84,10.16,0,86.41
261.51,6.31,2,66.99
1327.57,28.21,0,63.32
827.58,139.51,0,86.98
969.07,15.56,0,71.59
974.88,127.47,2,53.02
1478.12,121.69,1,48.09
945.5,116.02,0,80.87
641.43,71.68,1,72.52
1978.6,62.02,2,16.46
1333.53,84.99,1,57.9
1414.07,19.08,1,44.76
353.55,5.36,0,94.03
1225.77,53.99,1,51.16
1106.87,40.54,0,68.61
347.71,13.27,1,72.83
1401.97,78.12,1,46.27
31.39,13.48,1,86.59
892.96,111.33,0,85.39
759.64,99.48,2,60.22
455.71,108.15,0,100
790.59,74.73,2,55.49
1162.18,131.72,1,59.56
925.44,48.93,0,74.1
215.31,75.58,0,100
1302.01,110.51,2,43.34
1621.35,33.16,1,44.16
1736.72,30.05,1,31.53
1046.47,60.28,0,74.42
1814.6,18.75,1,34.84
1337.3,23.76,0,59.51
1964.9,12.11,1,22.4
1339.46,68.56,1,51.67
1959.44,72.51,1,36.64
699.97,118.58,1,72.95
704.77,85.29,0,90.41
445.76,137.35,2,70.52
1792.79,25.19,2,21.72
955.47,43.12,1,60.31
339.82,46.83,0,90.36
237.64,98.77,1,86.04
1647.75,102.82,2,28.32
670.3,120.9,1,79.23
782.48,75.45,2,57.04
1428.93,149.28,2,45.63
1472.47,77.27,2,37.73
1150.15,52.26,0,71.43
1543.84,69.28,0,63.39
397.31,62.85,1,78.19
85.16,124.43,0,100
345.91,114.74,2,71.2
409.72,7.32,0,87.05
1597.65,78.1,0,55.31
377.3,50.7,0,95.61
761.19,51.86,0,81.05
654.88,12.62,0,78.63
898.69,130.32,0,84.57
1080.31,83.17,1,58.22
1462.81,121.96,0,70.03
1894.06,78.76,2,19.23
1215.8,60.37,1,58.67
1388.5,42.7,2,32.09
1903.74,11.62,2,12.69
382.24,88.89,2,67.17
1121.06,28.67,0,69.18
59.27,85.89,0,100
38.28,56.61,1,88.9
95.52,126.06,2,76.4
1686.65,41.3,1,38.0
859.87,106.33,0,83.4
51.6,26.47,1,90.34
1287.72,67.53,1,49.95
639.91,114.89,0,91.95
589.56,52.88,0,89.22
952.54,96.0,0,83.41
374.09,84.29,2,66.55
1193.11,59.04,2,39.84
1105.19,115.16,2,46.45
1818.41,21.5,2,19.21
1199.48,65.67,0,73.23
680.75,79.0,2,59.74
979.97,25.32,1,61.63
813.19,121.44,1,73.04
104.84,31.63,2,74.51
1018.53,94.45,0,79.5
412.5,68.16,1,77.17
1902.94,78.9,0,49.8
971.55,35.84,0,70.51
485.87,109.74,2,65.93
1135.84,129.78,1,66.97
632.49,137.81,0,94.28
1213.91,79.0,1,54.91
521.34,136.56,2,71.95
1857.96,139.31,0,59.42
1900.18,77.28,1,32.14
1221.94,123.13,0,78.55
1461.38,51.12,0,59.23
1019.23,95.02,1,64.86
130.15,139.13,2,82.25
1243.34,73.74,2,38.16
95.99,128.5,0,100
1005.63,35.68,2,41.91
212.62,106.64,1,86.96
1020.06,100.53,2,52.56
1321.97,50.18,1,47.34
1353.5,61.65,1,52.33
468.34,127.44,1,83.44
1486.42,53.91,0,57.66
922.03,132.65,1,73.4
447.79,115.84,2,69.65
354.13,127.31,1,84.74
1099.63,116.47,0,79.05
1067.02,35.73,0,74.75
1175.21,112.64,2,42.92
506.93,36.3,1,74.14
1480.32,113.03,1,53.7
1787.6,125.58,2,33.05
41.48,149.09,1,97.57
792.68,108.87,0,85.61
685.37,53.88,2,53.21
1141.85,72.12,2,43.2
1339.4,117.59,0,70.27
324.33,95.83,2,74.62
300.7,26.98,0,94.42
370.2,137.71,0,100
98.11,84.45,1,88.58
1428.65,98.08,0,65.97
357.59,101.57,0,100
462.73,71.72,2,61.22
1414.76,23.06,0,61.34
196.78,75.43,2,68.81
1849.35,113.55,1,42.66
776.37,7.84,1,59.97
662.18,60.0,0,82.39
13.64,137.37,0,100
1234.41,55.14,0,67.28
1138.78,105.75,0,71.61
339.19,88.66,0,100
797.47,98.22,1,74.02
1933.4,108.04,2,22.11
63.17,130.07,2,78.86
805.3,47.63,1,66.76
286.23,100.97,0,96.67
1625.07,29.57,1,38.55
1776.61,114.42,0,61.14
1529.93,86.34,2,32.99
725.16,57.24,1,73.66
615.05,147.44,2,62.22
1071.06,146.6,2,52.57
532.21,34.29,0,90.62
904.49,65.42,1,64.3
418.51,11.29,0,92.59
1222.17,17.46,1,53.27
1496.55,57.61,1,48.6
927.47,106.81,1,71.03
1096.16,5.43,2,39.28
922.05,7.44,2,41.53
1972.52,80.81,2,17.93
1263.2,124.94,1,56.96
1349.47,9.62,2,30.86
1491.46,101.49,0,68.98
1945.14,33.49,2,13.0
526.9,49.67,2,56.46
1108.24,65.52,0,77.27
311.49,43.06,2,69.9
181.2,133.17,0,100
290.12,52.71,0,92.43
187.33,28.59,0,93.25
104.87,55.16,2,69.54
586.8,79.96,1,75.81
1689.66,56.72,1,44.33
658.39,132.25,1,76.36
470.21,22.85,0,88.66
621.77,41.02,1,66.51
629.0,133.37,0,96.18
1133.57,131.33,1,59.52
1584.92,35.46,2,28.35
1051.43,140.34,2,55.29
1283.52,133.08,2,42.58
1686.38,56.32,2,27.91
1530.13,130.47,0,64.11
400.12,21.23,0,91.1
1095.19,117.12,2,52.93
1750.0,13.31,2,18.21
786.9,49.42,1,64.99
1699.59,43.38,1,37.44
1550.07,81.08,1,44.22
534.5,112.67,2,62.69
472.96,66.44,2,60.83
164.13,125.52,1,91.61
1830.51,103.45,1,44.85
1741.09,77.88,0,50.75
1638.43,142.68,1,47.23
1766.09,149.37,1,44.77
1388.3,72.43,1,50.53
619.1,87.48,1,74.96
15.85,124.45,0,100
1694.73,143.0,2,32.29
1434.78,34.36,0,57.39
1054.99,98.78,1,62.94
495.24,139.27,2,66.42
838.2,141.36,0,93.24
1466.54,72.24,2,31.86
580.95,15.72,1,66.82
1143.52,6.2,2,37.95
1946.06,140.55,1,44.82
1996.46,90.53,2,21.34
450.15,26.06,2,54.83
1665.51,24.61,1,37.03
853.98,41.96,1,64.11
1324.23,79.33,1,55.56
1687.56,39.2,1,34.86
1775.02,16.31,0,45.74
103.64,50.37,2,72.58
1578.12,104.44,2,34.5
483.32,93.53,0,91.38
1289.68,59.08,1,47.67
616.72,48.19,1,75.38
282.83,19.78,0,90.62
1877.33,139.5,0,54.09
1379.75,42.71,1,51.06
1647.27,87.27,2,31.51
1077.79,28.53,1,59.57
777.71,30.03,2,52.6
244.2,5.9,2,62.79
214.39,110.1,2,71.15
183.01,62.55,1,83.43
472.82,26.81,2,55.83
249.3,21.96,0,93.93
1201.98,79.26,1,55.6
1384.03,47.51,1,52.62
1394.2,46.45,2,29.04
1361.31,135.87,2,46.63
1271.59,99.63,2,40.23
811.76,140.48,2,59.34
1019.65,108.77,2,49.21
1338.51,143.5,1,56.26
529.74,116.19,2,64.96
1777.59,130.2,0,59.7
1458.58,41.1,1,44.12
1725.25,117.61,0,63.09
1052.68,93.38,0,80.67
1708.3,17.16,1,31.95
847.92,93.0,0,82.61
268.54,118.26,1,89.45
1526.03,117.23,2,33.32
1933.18,65.76,1,33.15
1430.85,56.33,1,49.69
1462.09,144.32,0,75.41
804.46,25.22,2,51.75
1547.27,124.71,1,52.78
151.61,59.55,0,99.72
1332.84,61.39,1,55.69
573.29,10.96,2,58.49
1106.45,126.95,0,78.76
261.49,141.46,1,91.02
805.07,91.88,0,83.91
1126.27,71.06,0,74.54
1961.21,71.93,0,52.26
1875.7,76.38,1,41.09
1452.83,105.21,1,51.56
516.61,89.0,2,68.24
513.81,101.46,2,63.2
243.36,149.46,2,74.72
449.5,7.31,0,89.02
676.56,59.23,0,82.38
897.65,77.12,0,79.25
114.14,102.34,0,100
1195.06,100.29,0,72.8
891.5,134.49,1,71.55
1930.97,21.38,2,11.92
1680.07,92.94,2,28.88
216.48,12.6,1,83.76
1849.94,144.65,2,33.33
447.31,81.23,1,77.75
705.66,29.65,1,63.52
85.53,130.89,2,82.38
550.95,26.14,2,53.71
953.22,130.01,0,85.56
1150.06,149.67,0,81.96
1522.32,149.19,2,38.57
1573.9,47.17,0,60.18
619.21,53.54,0,90.69
1869.82,37.72,1,29.44
1503.96,111.39,0,68.88
1272.6,57.52,0,64.52
827.39,129.48,2,60.32
315.17,115.46,1,82.34
1603.47,80.05,1,41.44
264.41,62.59,0,95.78
1731.59,101.01,1,41.97
1423.58,117.16,0,67.04
44.6,74.81,2,80.68
1946.12,56.7,0,42.9
1541.92,93.25,0,65.85
1520.88,85.89,0,59.29
1477.62,129.99,1,49.32
653.16,64.88,0,82.6
1405.14,91.86,2,34.53
1902.43,51.3,2,17.06
845.02,134.42,2,54.92
509.12,50.51,2,59.79
1193.32,82.0,1,62.14
1448.81,123.41,0,65.83
137.79,123.0,0,100
1993.86,119.88,2,20.54
1764.24,30.72,1,30.91
1575.26,85.33,1,46.95
503.61,9.65,2,59.0
1335.52,119.79,0,68.55
71.83,71.69,1,91.12
284.86,92.96,0,96.19
632.64,20.34,1,70.51
377.29,16.9,1,74.03
1040.54,76.7,1,60.81
315.83,114.37,2,75.98
1484.55,113.63,2,32.32
110.76,14.53,2,66.51
48.79,51.18,2,69.71
314.75,76.12,2,72.61
841.62,114.82,0,86.17
979.38,38.87,0,76.4
1517.57,94.03,2,35.43
1694.88,19.37,2,22.16
1810.86,90.46,0,53.65
1418.29,129.26,1,52.23
366.36,86.12,1,86.23
1728.27,36.92,1,40.65
744.87,123.3,2,59.64
1244.99,51.82,1,54.19
534.18,150.0,1,80.43
719.96,75.2,2,60.64
237.43,42.28,0,93.92
1537.36,76.04,0,62.42
947.89,86.29,0,80.65
1734.17,126.7,1,43.54
719.9,141.61,0,89.1
758.75,25.68,2,53.81
918.69,41.98,1,57.09
1102.75,59.29,1,61.17
399.83,73.5,2,69.95
471.75,83.84,1,82.53
1195.57,115.72,2,43.57
1871.81,112.7,0,52.55
1249.35,56.87,2,42.27
1237.21,118.38,0,76.58
1137.02,69.42,0,74.98
296.9,142.07,1,87.8
1719.83,75.58,1,40.29
789.45,139.37,0,89.9
1528.09,58.62,2,25.28
513.07,138.68,0,95.59
248.7,56.65,0,94.21
407.08,126.92,0,100
181.37,90.42,1,84.2
1314.39,28.0,0,59.29
1508.77,38.64,1,45.65
592.71,135.37,1,77.88
55.82,71.76,0,100
1236.04,85.94,1,58.57
1378.61,147.55,1,62.92
566.17,22.6,0,88.71
1852.14,121.4,0,57.14
1094.53,62.12,2,39.5
622.72,7.16,2,48.88
895.02,110.37,1,69.46
1132.28,103.64,1,64.51
517.95,38.37,2,53.51
799.05,62.58,1,70.25
1630.76,27.9,2,25.22
1777.31,113.81,0,61.5
1851.44,96.03,1,42.0
975.09,59.36,0,80.68
1291.15,36.3,2,32.92
703.38,72.69,0,83.75
1759.86,98.13,2,30.93
902.55,61.68,0,74.13
19.54,136.34,0,100
732.54,23.96,1,70.11
557.9,122.89,2,69.71
1380.96,22.53,1,49.23
1768.83,127.44,2,27.98
1037.21,111.84,1,68.13
774.21,29.8,0,84.39
279.31,120.46,1,83.92
699.26,133.57,1,77.52
1457.05,104.0,1,50.87
387.74,80.2,0,95.31
526.8,115.27,0,99.8
128.63,86.9,2,76.49
817.46,14.38,0,77.53
355.5,24.49,1,81.36
423.23,50.49,0,92.99
859.11,117.73,0,87.88
127.73,138.03,0,100
1776.05,90.29,2,25.96
1793.29,85.69,1,39.25
495.48,104.93,0,91.62
648.29,132.35,1,78.27
653.02,21.17,2,53.18
504.18,102.96,0,91.8
1362.23,106.14,2,41.17
568.88,83.69,0,87.53
278.51,101.36,1,85.85
260.14,46.7,0,97.68
833.33,144.77,2,55.85
1979.04,52.44,0,49.89
1902.13,47.38,2,17.83
294.89,11.98,1,78.09
1078.52,59.63,2,43.44
883.74,24.19,1,60.98
1448.86,142.17,2,44.61
456.85,43.79,2,58.55
521.92,126.47,1,85.69
1138.76,51.97,2,38.09
1594.37,130.69,2,40.16
1996.87,139.89,2,24.3
1999.14,119.87,0,52.0
1084.68,110.96,2,52.45
71.66,70.25,1,92.0
716.05,53.71,2,53.84
1851.8,30.1,1,30.83
914.57,102.7,0,82.03
207.21,71.75,0,98.74
1699.52,84.95,0,52.9
1020.23,145.46,2,55.78
964.6,23.37,1,60.4
1519.73,37.87,2,29.13
311.17,32.2,1,79.25
476.09,68.82,2,58.42
890.58,106.28,1,73.06
1907.82,57.61,1,35.6
1369.38,119.61,2,36.73
548.04,98.79,1,74.02
207.5,69.21,2,74.23
1296.83,6.95,0,60.56
391.15,69.82,2,69.49
89.34,9.29,0,100
102.94,58.37,0,100
1466.65,109.39,0,69.18
711.48,125.86,0,86.46
1172.06,132.99,2,51.56
1191.22,142.27,2,53.28
1543.1,34.45,2,29.65
547.3,131.17,1,85.08
1933.03,71.81,0,47.12
1793.04,91.63,1,37.46
1353.54,121.83,2,38.48
379.49,105.62,0,100
1979.71,46.86,2,19.84
317.21,117.83,1,91.0
96.19,138.1,2,85.39
85.06,77.02,2,77.03
537.55,101.94,1,77.23
378.6,24.65,0,90.41
1740.96,39.65,2,21.1
211.5,85.24,0,100
1840.02,118.51,1,38.64
1016.07,136.67,2,53.04
1563.4,44.28,2,25.49
729.18,87.69,2,61.74
280.05,57.82,1,85.96
445.97,33.51,2,58.76
1284.01,42.1,1,49.27
135.43,137.52,2,80.02
284.51,95.49,0,100
1808.88,140.25,2,26.14
1655.82,32.96,1,43.13
630.05,45.17,2,53.73
1077.61,74.33,1,61.71
1585.6,32.21,0,56.83
306.94,105.35,0,96.89
1106.29,24.17,0,72.31
96.32,55.67,1,83.02
313.91,111.7,2,68.41
1141.75,39.96,0,67.8
366.18,69.67,0,99.72
591.51,112.79,0,92.55
1804.63,42.23,2,17.28
742.89,37.67,0,77.71
17.04,7.55,2,72.14
1760.52,29.01,0,49.36
1326.31,64.6,1,49.86
346.61,136.44,0,100
196.29,137.09,1,87.85
161.45,97.15,1,94.46
92.53,73.02,0,100
1314.51,84.33,2,43.64
534.62,133.74,1,84.29
724.14,71.22,2,51.31
463.84,37.13,2,59.93
1199.41,55.94,2,39.35
713.64,91.68,0,85.68
1362.08,41.48,2,32.72
425.89,9.86,2,55.27
213.07,13.72,1,77.69
1253.63,138.92,2,42.79
1177.51,140.77,2,45.05
460.95,78.49,1,74.3
1143.93,145.54,1,63.98
1019.54,42.61,0,69.11
654.54,79.36,1,69.34
1489.71,23.62,1,39.52
30.29,41.71,0,100
793.02,118.42,0,91.75
1341.88,145.13,2,40.77
1635.0,6.58,1,34.83
1779.93,50.49,0,50.67
1859.66,133.96,0,54.16
288.63,17.06,0,96.12
1874.19,79.36,0,54.15
1798.18,69.37,0,55.06
216.57,145.87,2,77.44
617.27,119.82,2,62.72
168.04,10.94,1,85.93
360.62,34.65,2,61.49
950.23,96.61,1,67.73
1707.13,52.67,2,27.54
1097.17,66.63,2,43.25
1601.47,88.2,2,35.47
179.33,97.18,2,76.75
1453.63,86.55,0,60.34
1206.5,122.62,2,47.23
804.27,147.82,1,74.67
1787.14,23.64,0,50.59
1849.59,68.52,0,52.08
1281.02,68.57,0,66.66
106.96,22.09,0,100
614.16,88.79,1,75.02
1706.26,63.63,0,60.1
496.96,11.11,2,52.97
621.21,95.75,1,74.05
1606.64,32.23,0,56.49
279.0,42.15,1,78.31
1184.14,14.12,1,49.54
394.52,43.6,1,72.59
933.97,135.59,0,81.69
292.63,9.7,1,75.55
1262.45,31.69,0,69.42
322.35,128.97,1,88.79
1482.09,118.55,1,56.64
1909.63,42.17,1,31.81
1014.95,22.19,0,70.67
1071.73,42.75,1,59.49
42.76,17.04,1,86.32
1352.9,142.17,1,59.4
1298.38,103.75,2,37.93
1555.4,108.99,0,65.76
1276.51,14.06,2,37.4
781.13,61.35,2,48.18
1026.86,68.55,1,64.55
259.16,68.46,1,84.77
817.0,110.33,2,55.12
530.15,8.16,2,53.96
1544.66,147.61,0,64.0
374.93,63.02,2,67.9
386.49,29.59,1,73.93
234.33,113.3,0,100
1854.85,53.31,0,52.84
1680.48,71.44,1,39.28
305.01,125.0,2,72.65
732.54,8.33,0,82.16
401.27,50.75,2,63.24
1353.09,89.64,2,43.19
896.36,27.46,0,71.26
1368.81,136.74,2,46.4
427.0,46.4,1,75.56
1496.59,16.93,2,27.06
423.82,135.31,2,75.77
375.61,80.39,0,98.37
561.68,37.02,1,69.43
1597.56,135.02,0,63.34
1156.2,63.85,0,71.13
1200.97,103.38,2,46.37
1330.42,143.27,0,78.75
1717.55,94.1,1,44.2
779.2,128.61,1,74.58
1798.97,88.04,2,28.01
1969.76,27.36,0,45.4
611.43,72.22,2,58.34
10.12,28.69,2,68.27
1364.59,15.42,1,46.27
377.58,127.38,0,99.96
1025.6,46.71,0,72.51
1578.57,59.12,2,26.48
1689.81,7.0,0,54.24
454.8,71.11,2,62.65
1964.69,98.31,1,33.74
895.21,61.59,0,81.95
1676.76,133.85,0,58.72
1214.46,140.47,1,60.84
1393.73,142.46,2,43.33
34.82,102.38,2,80.84
576.23,36.36,1,72.6
1848.18,93.86,2,19.57
889.39,144.26,1,70.06
1466.58,81.35,0,66.89
551.46,24.24,1,72.69
500.35,106.62,1,84.8
1069.2,147.48,1,67.46
979.34,44.85,2,48.11
446.87,127.84,1,87.89
434.87,63.87,2,63.84
162.18,47.67,2,65.99
1600.1,73.5,2,31.95
1114.65,146.45,1,70.57
341.59,143.65,1,91.8
1166.99,5.86,0,70.04
58.3,79.96,1,90.39
623.09,144.55,0,91.07
334.74,62.09,2,67.32
1747.96,122.7,1,41.19
812.59,19.96,2,46.34
1633.88,19.21,2,17.99
246.47,46.68,0,92.56
1118.97,12.25,1,49.74
1021.13,84.17,0,82.19
1722.23,133.37,1,46.7
1944.15,20.8,2,14.5
1105.93,11.57,1,54.05
60.38,111.09,1,98.42
394.55,28.07,1,75.86
189.94,32.13,1,78.99
1913.97,52.9,1,28.84
703.81,58.59,2,51.56
1341.2,54.05,1,49.01
868.7,106.53,1,71.24
1156.55,46.52,2,42.16
1698.76,95.76,1,41.17
1725.33,143.73,2,33.26
830.51,112.38,2,51.61
555.02,121.51,0,95.04
1369.26,94.28,1,51.44
252.69,122.68,0,100
1205.27,58.89,1,51.15
1830.71,111.31,2,25.36
851.47,18.16,0,77.11
1106.28,36.27,1,56.77
1517.18,93.12,0,60.33
1589.9,134.53,1,50.41
437.23,81.4,1,84.69
716.84,8.09,1,65.76
1628.82,9.45,0,55.51
1521.52,33.86,1,39.38
118.6,115.79,1,96.24
1711.78,104.66,2,27.25
1957.83,60.73,1,36.02
1517.47,129.58,0,71.8
1055.32,50.13,2,42.82
1315.87,14.94,2,35.31
1767.08,24.98,0,48.26
1097.7,58.52,1,57.66
76.2,20.45,2,65.7
1586.09,51.87,2,26.33
1784.78,124.48,2,27.69
1753.08,87.72,2,31.08
1760.83,27.05,0,53.43
273.83,58.68,0,98.29
852.45,64.79,1,66.84
1165.01,116.18,1,66.22
1262.98,126.41,1,62.97
1594.93,108.04,1,43.57
247.14,137.7,1,94.25
1506.69,12.45,2,23.92
1490.46,137.49,2,35.79
1033.82,20.76,1,58.82
303.16,38.92,0,96.4
1044.44,41.51,1,53.6
1991.58,142.68,2,24.71
823.34,37.96,0,82.94
729.42,43.87,1,66.06
1338.23,53.68,1,51.64
1253.97,61.52,2,42.94
1870.25,20.53,2,17.67
1765.88,135.85,2,33.74
1308.16,19.32,2,28.51
1545.86,131.97,1,56.74
1610.89,109.9,2,27.97
1373.07,137.14,0,72.14
393.95,47.14,0,96.71
1164.94,126.38,1,62.32
1061.85,70.84,2,40.55
1670.42,25.06,2,23.08
92.41,56.92,2,73.68
328.24,63.44,0,99.82
608.57,6.88,1,68.2
43.99,62.3,1,94.66
1396.32,98.54,2,42.92
1258.61,70.33,0,65.39
1754.61,139.61,2,34.46
1447.35,73.89,1,45.2
109.11,36.86,1,88.16
297.4,134.75,1,85.1
1793.66,16.44,0,49.89
1417.54,71.37,0,65.35
1825.38,140.13,2,25.6
857.18,122.48,2,54.87
172.52,109.84,2,74.71
1592.84,69.58,0,59.28
1706.91,102.89,2,33.87
1824.42,137.15,1,43.87
954.11,126.58,0,88.47
1843.37,47.21,2,16.38
1987.19,26.31,2,15.43
606.6,30.47,0,87.2
803.57,102.49,1,67.47
1372.36,96.98,0,66.34
585.77,112.74,2,64.75
450.44,54.37,1,80.13
510.21,105.88,1,79.88
1154.44,40.05,2,40.41
681.2,130.53,1,77.07
242.74,15.96,1,76.42
754.89,75.59,1,66.34
1430.03,17.93,0,55.68
880.5,139.95,2,54.23
285.72,100.02,0,100
359.19,62.92,1,84.62
1177.11,52.93,1,59.9
1157.34,125.93,2,44.57
758.93,111.1,2,55.21
594.46,70.1,2,63.26
1398.86,9.25,0,61.96
1148.97,64.37,0,70.98
1596.87,38.24,2,30.31
42.17,81.59,2,75.08
951.74,10.24,0,67.68
1789.15,133.73,1,44.93
642.19,66.49,1,69.6
667.85,82.67,2,57.19
138.1,31.75,1,84.21
1506.59,61.32,0,64.66
107.05,60.86,0,100
1634.35,147.32,2,32.22
1769.72,32.16,1,33.17
503.12,102.53,1,75.82
688.14,22.37,2,50.75
867.25,124.28,2,58.58
1465.24,20.11,1,44.32
73.48,25.04,1,87.65
469.43,20.57,0,86.75
183.18,122.76,2,72.06
461.61,67.66,1,81.15
372.16,117.3,2,73.8
41.39,89.4,2,82.4
1315.62,123.36,0,72.62
967.37,14.96,0,73.81
1920.72,114.42,2,27.09
1208.28,47.31,1,49.71
759.77,5.14,1,57.93
1414.37,91.01,0,65.97
1362.54,28.56,2,29.41
370.05,55.73,0,92.12
513.79,31.74,0,84.67
1687.68,148.07,2,33.51
1940.97,106.87,0,55.07
1819.05,127.99,0,55.73
1370.8,139.78,0,75.45
1580.31,96.83,1,50.18
175.06,43.04,2,72.17
420.2,107.77,2,72.23
1480.21,148.29,1,59.83
208.21,34.84,2,65.56
799.63,86.01,0,88.32
1561.82,119.78,0,63.6
542.13,43.4,1,73.07
1524.35,146.95,1,53.31
1993.74,23.56,1,23.48
617.88,102.34,1,75.77
128.76,134.05,2,79.37
426.71,93.62,0,96.78
1550.27,122.92,0,62.44
180.73,110.09,2,74.45
1217.61,88.11,2,46.57
1692.83,121.62,0,62.85
671.96,83.08,2,61.71
1718.71,20.71,2,18.95
1243.14,21.82,2,30.79
565.12,68.06,1,79.03
1154.4,110.19,1,64.07
644.31,142.52,2,61.5
634.31,113.29,1,81.23
873.48,42.28,1,61.38
1425.44,59.36,0,60.61
1608.97,38.27,1,45.15
294.98,93.19,2,69.89
746.38,45.89,1,66.21
142.68,35.43,0,96.69
1187.65,7.25,1,47.38
691.61,112.49,1,73.12
711.03,75.93,0,88.33
286.89,65.61,2,63.61
206.63,65.4,2,69.83
816.23,57.12,2,52.79
1838.17,149.47,2,30.14
1122.33,10.17,1,56.54
1660.35,86.5,0,63.13
1296.55,7.01,0,57.35
1746.07,118.66,2,29.8
1052.13,111.01,1,64.21
1640.47,82.21,1,40.97
392.45,21.84,1,74.46
1296.91,52.61,2,37.3
295.73,144.03,0,100
1892.22,10.62,0,43.4
1295.34,111.42,0,75.24
360.31,79.97,1,82.84
1071.1,103.02,2,50.37
1364.75,52.81,0,68.58
1819.32,39.22,0,52.44
1853.22,74.6,2,25.07
669.36,126.19,0,95.01
785.78,140.15,2,58.98
569.37,113.02,0,94.95
1076.74,127.57,2,46.52
143.28,126.63,0,100
1437.74,28.65,1,49.49
783.91,103.51,0,89.65
1517.09,46.29,1,40.86
843.89,20.82,1,62.14
615.53,113.7,1,73.45
204.94,117.16,2,76.43
1626.2,110.03,2,35.77
71.05,133.62,0,100
1536.24,130.78,2,37.75
307.72,109.65,2,69.97
719.33,131.6,2,66.33
1770.28,109.4,2,26.69
641.05,72.46,2,56.55
214.1,54.29,0,99.52
1485.9,141.0,2,39.21
1072.05,82.74,2,43.97
16.93,92.2,0,100
1682.32,68.83,1,46.07
208.96,81.18,2,68.11
710.45,140.19,1,77.01
391.74,80.93,1,84.58
519.34,51.09,2,59.08
909.52,18.36,2,49.49
1050.08,92.48,1,63.55
754.6,71.6,1,69.62
800.99,9.09,0,73.68
1211.06,84.31,1,61.6
1887.56,99.52,1,35.85
235.96,64.54,2,70.22
700.49,56.18,1,70.64
1210.01,116.95,1,55.66
866.96,22.71,0,73.61
1038.67,121.01,2,53.78
1172.69,138.49,2,46.3
1503.92,116.89,1,48.18
971.7,40.24,1,64.4
228.18,140.03,2,79.83
1609.49,27.24,0,59.31
328.21,57.47,1,80.78
827.17,22.34,2,46.53
1372.26,128.88,0,75.14
1561.37,110.3,2,36.4
985.89,22.97,2,39.81
436.83,149.54,1,90.26
123.8,59.27,1,83.49
1359.61,50.33,2,37.91
234.65,100.98,2,74.01
825.11,9.08,2,49.45
1531.23,136.05,0,65.55
1459.57,137.16,2,44.02
932.92,99.36,2,47.82
1894.8,22.33,2,19.76
1322.07,43.75,1,47.37
430.08,113.35,1,84.14
917.12,53.87,1,64.45
926.99,43.47,0,76.04
